CCAA;Museos Encuestados;Coordenadas
Andalucía;169;37.367,-5.983
Aragón;74;41.6563497,-0.8765662
Asturias (Principado de);55;43.36000,-5.84500
Balears (Illes);55;39.567,2.650
Canarias;53;28.150,-16.250
Cantabria;13;43.450,-3.800
Castilla - La Mancha;181;39.8565278,-4.0251111
Castilla y León;107;41.633,-4.717
Cataluña;117;41.383,2.167
Ceuta;4;35.88806,-5.31611
Comunitat Valenciana;233;39.47000,-0.37667
Extremadura;51;38.900,-6.333
Galicia;85;42.867,-8.550
Madrid (Comunidad de);129;40.433,-3.683
Melilla;8;35.29167,-2.93833
Murcia (Región de);35;37.98611,-1.13028
Navarra /Comunidad Foral de);13;42.81833,-1.64417
País Vasco;63;42.850,-2.683
Rioja (La);16;42.4646528,-2.4458000
