Comunidad autónoma,Población,Lat,Long
Andalucía,845000,37.367,-5983
Aragón,680895,41.6563497,-0.8765662
Principado de Asturias,224090,43.36,-5845
Islas Baleares,407648,39.567,2.65
Canarias,589261,28.15,-16.25
Cantabria,178465,43.45,-3.8
Castilla-La Mancha,83741,39.8565278,-4.0251111
Castilla y León,414281,41.633,-4717
Cataluña,1620323,41.383,2167
Ceuta,78320,35.88806,-5.31611
Extremadura,59335,38.9,-6333
Galicia,2702592,42.867,-8.55
La Rioja,153402,42.4646528,-2.4458
Comunidad de Madrid,3223334,40.433,-3683
Melilla,71339,35.29167,-2.93833
Región de Murcia,422861,37.98611,-1.13028
Navarra,197604,42.81833,-1.64417
Comunidad Valenciana,791413,39.47,-0.37667
País Vasco,229483,42.85,-2683
